The number of jobs:
140

The number of machines:
16

The number of workers:
5

The processing power of each machine:
(Where columns denote machines: 1 to 16.)
1,16,14,13,11,16,12,16,14,12,11,20,17,13,14,13

The idle power of each machine:
(Where columns denote machines: 1 to 16.)
6,1,6,2,8,7,7,1,4,6,4,3,10,2,7,4

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 5 and columns denote machines: 1 to 16.)
1.25,1.5,1.5,1,0.75,1,1,0.5,1.25,0.5,0.75,0.75,1,1.5,1,0.5
0.5,0.5,1.25,1,0.75,1.25,1.25,1,1.25,1,1,1.5,0.5,1,0.75,0.75
1.25,1,1,1.25,1,1.5,1.25,1.25,1.5,1.25,1,1.25,0.5,1.5,1.25,1
0.75,0.75,1,1.25,1,0.75,0.75,0.5,1.25,1.25,0.5,0.5,0.5,1.5,0.75,1.25
0.5,1.5,0.5,1,0.75,0.5,1.25,1.5,1,1.25,1,1,0.75,1.25,1,1.5

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 140 and columns denote machines: 1 to 16.)
81,55,84,65,80,40,95,23,26,22,55,30,38,91,49,73
67,65,95,48,88,57,93,48,7,9,64,61,78,73,76,83
16,82,36,95,42,47,31,44,44,81,95,42,8,31,94,90
85,51,10,88,12,68,51,37,64,48,14,48,78,72,49,91
92,86,65,63,67,81,72,92,42,58,30,89,10,37,73,29
27,27,72,5,85,68,83,85,5,38,74,47,3,19,93,90
59,78,10,75,32,46,9,47,99,44,84,80,75,56,93,68
63,16,75,22,51,60,14,93,76,36,60,11,88,78,67,82
81,7,56,5,35,89,30,32,5,11,70,19,95,13,81,44
82,57,95,4,86,70,21,5,76,35,23,69,14,67,93,99
42,57,26,28,66,91,53,41,99,34,58,8,1,64,24,59
96,20,61,99,96,90,81,67,29,12,81,29,40,4,35,74
11,4,4,98,30,47,70,41,44,22,36,53,82,89,85,9
72,22,22,80,97,74,46,18,26,25,21,25,68,20,50,64
37,44,72,23,35,39,6,62,50,39,16,86,52,36,71,32
33,39,68,39,95,63,42,83,30,60,96,13,10,79,14,41
7,21,66,74,93,35,61,3,44,33,40,25,7,70,94,79
58,72,67,38,62,17,88,77,87,95,32,30,37,8,78,69
83,16,54,86,26,68,5,65,79,49,86,37,33,18,11,77
91,47,74,78,13,76,34,22,34,91,27,26,28,87,49,24
42,93,27,81,58,86,93,50,27,81,88,90,11,98,67,50
92,21,4,25,1,96,48,40,49,29,11,46,29,89,58,66
82,22,85,37,34,35,98,61,38,75,36,5,21,43,17,56
32,10,95,96,48,44,70,98,3,94,95,91,87,95,82,39
67,83,24,21,88,10,81,37,69,23,8,20,60,41,48,36
14,93,69,62,36,54,39,23,1,29,14,91,87,39,92,5
86,55,7,8,63,72,36,6,21,43,74,86,39,99,67,55
79,52,69,15,20,92,12,28,99,34,50,53,23,93,69,72
13,87,6,52,99,49,93,72,57,17,36,12,92,70,23,91
79,71,55,19,8,44,37,2,21,79,96,75,44,3,46,74
80,41,87,42,73,54,84,49,65,39,5,3,6,12,77,76
47,97,4,43,57,98,56,15,35,19,82,90,28,85,43,15
28,17,94,40,45,67,2,5,87,37,63,13,79,92,98,23
33,36,63,39,81,9,13,3,44,62,1,73,96,63,7,61
65,58,68,6,90,5,25,76,23,74,3,98,71,76,96,44
49,11,15,3,85,44,97,38,29,16,33,97,85,14,55,56
80,98,62,93,14,18,54,36,28,28,41,35,47,19,40,94
46,17,99,84,48,33,46,24,72,84,41,67,35,32,17,55
65,81,4,55,8,60,37,71,83,28,92,28,87,5,80,66
93,78,38,36,69,61,29,62,14,37,98,22,88,36,76,43
28,89,5,66,55,84,31,5,30,72,22,7,50,52,52,97
56,5,99,87,24,49,85,8,91,68,1,59,47,81,36,78
91,74,79,30,82,36,2,9,56,16,91,1,33,46,75,37
35,61,32,35,76,77,41,37,24,96,13,63,42,69,18,28
77,17,32,52,40,47,12,77,58,57,72,82,7,73,54,93
7,83,12,51,77,17,37,28,64,44,13,18,12,66,16,52
87,79,94,92,99,42,15,21,56,19,32,96,72,9,8,49
96,48,62,69,12,29,5,7,48,30,95,11,34,56,37,52
