The number of jobs:
140

The number of machines:
16

The number of workers:
6

The processing power of each machine:
(Where columns denote machines: 1 to 16.)
6,13,15,16,13,11,14,19,20,13,16,12,17,18,12,19

The idle power of each machine:
(Where columns denote machines: 1 to 16.)
2,3,1,3,8,9,7,9,10,8,4,9,2,9,8,7

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 6 and columns denote machines: 1 to 16.)
0.5,0.5,0.5,0.5,1.5,1,0.5,1,0.5,1.25,0.75,1.5,1.25,1,1.5,0.5
0.5,1.5,0.5,1.5,0.5,1.25,0.5,0.5,1.25,1,1,0.5,1.5,1,0.5,0.75
0.75,1.5,1,0.75,0.5,0.5,1,1,0.75,0.75,1.5,0.75,0.5,0.5,1.5,1.25
1.5,1.5,0.5,1.25,1,0.75,1.25,1,1,0.5,1.5,0.5,0.75,1.5,0.75,1.5
1,0.75,1.25,0.5,1.25,1.25,1,0.75,0.5,0.75,1,1.5,0.75,0.5,1,1.5
0.75,0.75,1.25,1.5,1.5,0.5,0.5,0.5,1,1.25,1.25,0.5,1,1.5,1.5,0.5

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 140 and columns denote machines: 1 to 16.)
41,94,92,55,72,13,19,27,64,50,63,98,43,64,51,97
27,48,42,44,56,90,57,16,57,25,51,89,31,16,95,39
4,15,7,2,42,6,43,8,49,47,26,83,32,62,83,29
44,31,32,66,93,3,47,99,28,26,90,79,46,90,50,25
18,84,64,71,85,21,30,94,97,91,50,81,58,83,24,14
6,90,9,18,87,42,6,60,43,25,70,45,61,35,49,64
5,17,58,93,25,78,17,53,61,31,36,71,17,54,57,21
67,65,91,77,8,42,82,67,46,74,14,27,14,84,83,48
92,35,99,46,6,39,90,88,3,59,66,3,13,35,58,81
44,49,56,35,32,33,32,55,28,3,21,79,41,76,83,87
91,88,72,18,57,53,5,74,77,93,71,35,54,31,85,1
51,83,6,19,4,48,3,24,38,85,90,19,20,97,63,16
62,80,72,33,49,23,58,41,24,94,67,77,18,37,80,56
87,85,62,1,2,89,98,70,42,17,85,91,6,13,23,43
79,80,58,30,86,94,14,68,43,18,89,83,98,77,5,26
59,53,2,23,2,90,24,4,43,26,54,36,41,4,31,69
24,61,3,4,15,62,23,12,34,76,18,99,7,24,31,59
87,57,29,49,9,85,56,31,54,82,63,84,86,66,18,7
80,39,61,55,4,97,8,15,41,97,44,92,95,32,62,69
92,76,56,80,88,64,70,38,47,25,21,43,50,61,49,17
27,69,68,57,85,43,1,95,39,56,45,95,39,86,45,85
21,68,55,84,97,73,62,52,34,56,60,35,90,6,96,48
7,95,53,62,66,72,93,43,29,29,42,61,43,9,43,9
32,65,3,94,28,32,84,46,1,67,22,79,54,67,98,78
27,58,30,89,66,91,69,99,55,10,47,12,6,74,87,21
4,95,91,27,4,50,21,79,41,21,99,32,10,21,45,30
99,76,73,95,51,1,26,50,31,61,54,91,4,53,85,20
95,70,36,66,37,57,13,46,67,2,88,4,99,56,21,45
53,2,64,72,68,23,78,24,99,56,38,69,24,68,9,16
77,44,85,22,46,45,15,5,43,89,38,71,11,64,21,28
61,61,2,25,65,91,25,54,49,4,8,31,34,4,94,98
93,87,24,24,76,4,75,39,41,38,13,92,26,90,65,60
63,85,48,55,16,63,19,37,78,81,59,77,93,37,56,64
28,27,5,39,96,8,82,49,7,67,97,32,47,71,59,51
45,34,56,42,10,1,58,67,34,90,36,75,90,10,32,60
24,98,83,87,22,11,63,40,50,53,80,3,52,96,5,1
13,92,56,67,22,45,56,1,90,58,63,6,46,58,54,12
25,82,79,90,65,97,45,92,68,82,37,19,60,56,17,53
54,57,24,19,78,60,1,73,31,51,92,17,26,75,92,56
15,97,53,39,94,38,32,72,54,9,28,11,53,89,95,49
63,6,54,41,88,86,27,33,22,2,57,82,67,20,34,72
68,3,40,29,15,25,81,94,48,95,46,78,3,67,67,4
58,18,25,51,11,42,15,26,74,43,48,18,49,55,88,17
41,81,61,36,98,71,59,7,90,90,48,20,80,60,57,40
38,66,18,8,29,11,89,61,2,31,50,89,50,73,54,54
35,59,19,31,22,52,79,49,41,41,79,8,38,52,91,38
86,54,7,80,36,56,42,22,27,25,85,99,55,28,82,26
66,8,46,23,71,57,14,55,20,94,14,14,30,84,19,86
43,4,36,68,76,40,86,95,50,19,80,88,77,57,58,23
16,6,80,69,16,8,43,73,52,26,83,27,79,54,84,60
23,94,25,66,51,9,22,70,82,21,85,11,23,35,91,22
60,87,7,74,80,51,82,21,71,15,82,81,95,82,23,16
98,69,62,39,65,53,66,37,34,43,89,37,69,62,92,42
87,43,40,93,21,35,84,79,76,75,72,24,84,19,36,33
21,38,84,44,63,92,25,85,36,90,93,2,58,18,77,17
63,79,66,60,40,39,11,31,51,90,19,90,30,15,29,97
8,91,94,85,74,43,55,85,89,66,3,39,82,37,57,7
35,58,35,89,63,84,64,73,16,83,46,3,36,65,39,88
41,83,14,92,22,14,47,96,7,27,69,23,47,98,31,5
26,44,20,85,55,94,1,40,68,55,46,45,74,38,7,8
4,8,89,87,71,25,94,56,39,70,82,78,19,53,38,72
58,56,37,37,55,74,59,28,78,5,89,35,6,47,83,95
89,82,75,16,95,2,58,47,16,73,11,4,13,68,95,67
39,20,51,61,8,28,34,15,86,70,47,34,24,97,44,98
35,61,13,1,54,2,81,25,46,61,76,25,93,82,28,79
58,26,52,85,64,87,64,38,43,45,6,84,84,26,65,64
20,89,20,87,45,1,21,70,73,44,52,61,11,52,77,88
17,24,47,19,97,51,57,15,45,24,63,62,33,7,7,5
52,57,61,19,10,63,85,42,11,92,48,45,26,52,84,36
49,20,42,39,68,77,71,28,13,38,99,82,75,92,10,64
9,86,49,80,92,92,4,36,10,21,69,5,49,42,80,27
87,18,29,77,81,42,28,87,38,26,72,25,81,48,37,99
2,92,74,92,64,34,68,6,28,3,39,68,62,46,31,82
31,40,14,23,10,55,35,89,79,86,5,71,24,52,80,8
1,92,80,54,8,86,70,14,58,77,3,62,18,63,98,84
28,90,99,84,70,42,89,63,2,88,1,37,3,6,48,64
6,83,2,30,69,85,60,75,51,41,2,51,16,75,41,95
49,35,24,85,68,44,22,14,80,6,19,54,7,11,29,66
99,3,1,97,71,9,99,53,64,30,80,2,9,32,83,2
79,91,52,69,88,55,84,46,88,12,89,37,20,39,9,57
93,80,33,79,55,14,22,95,64,33,51,73,35,9,21,41
78,18,73,85,63,78,63,71,63,17,95,61,44,53,31,50
59,29,5,4,66,45,9,7,28,17,42,36,57,26,93,78
77,55,72,48,81,96,81,65,39,85,85,92,25,26,26,99
89,6,92,11,85,20,61,92,65,17,92,22,9,29,18,73
40,33,46,81,27,1,72,5,88,76,40,91,14,84,73,62
94,51,80,16,4,66,98,60,17,46,30,50,86,25,27,1
85,81,46,77,65,44,77,38,8,17,55,80,85,53,64,50
4,91,76,94,60,14,84,65,64,35,37,81,6,68,27,48
39,5,48,64,92,4,73,15,96,58,21,52,43,75,21,91
97,37,30,49,44,94,70,8,24,87,47,65,86,35,43,92
85,40,97,75,80,78,25,81,88,3,60,45,63,21,5,47
