The number of jobs:
160

The number of machines:
14

The number of workers:
5

The processing power of each machine:
(Where columns denote machines: 1 to 14.)
5,20,12,14,17,13,13,10,17,18,14,15,15,11

The idle power of each machine:
(Where columns denote machines: 1 to 14.)
1,8,6,9,7,7,8,9,10,8,10,5,8,7

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 5 and columns denote machines: 1 to 14.)
0.5,1,1.25,1.25,1.5,1.5,1.25,1.25,1.5,0.5,1.25,1.5,1,0.75
0.75,1.5,0.5,0.5,1.25,0.5,0.75,0.5,1.5,1,0.5,1.25,1,1.5
1.25,1.5,0.5,1,0.5,0.75,1.25,1,1,0.5,0.75,0.75,1.5,1
0.5,1,1,0.5,0.5,1.5,0.75,1.25,1.5,1,0.75,1,1.5,1.25
1.5,0.75,0.5,0.5,1,0.75,1.5,1.25,0.5,1.5,0.75,1,0.75,0.5

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 160 and columns denote machines: 1 to 14.)
97,53,56,49,64,59,54,22,98,51,14,24,56,41
63,42,78,90,73,24,44,23,48,7,95,32,38,73
19,27,40,65,21,60,43,61,35,73,7,93,74,1
42,17,3,61,47,67,16,80,16,74,15,24,64,68
69,45,90,54,94,59,65,4,55,84,36,3,57,81
32,75,20,33,17,75,46,85,15,24,31,84,36,45
10,29,58,23,75,81,97,13,16,5,51,41,30,95
44,19,46,48,42,62,29,24,24,43,89,39,10,4
76,11,54,17,76,62,60,93,94,69,5,10,17,28
75,39,65,84,70,34,14,61,54,19,39,88,85,18
45,4,45,60,1,76,73,37,4,86,75,23,14,39
39,50,11,16,94,21,39,12,62,63,32,86,92,96
33,59,51,94,72,48,11,87,57,24,70,50,80,61
17,5,84,73,25,49,91,79,67,34,89,31,82,54
27,29,7,78,14,92,13,57,31,27,19,77,10,43
94,36,59,66,35,29,22,78,60,15,69,48,23,15
32,53,82,16,58,82,58,74,53,39,84,73,18,85
12,66,31,15,12,8,43,5,5,91,82,33,63,76
61,81,4,58,12,32,36,63,86,4,24,2,71,58
59,31,33,96,25,64,14,96,95,24,96,45,49,72
31,32,72,95,7,4,56,6,24,64,74,20,87,66
73,65,9,96,7,64,91,33,13,60,29,16,72,36
47,28,29,32,15,15,86,51,50,23,68,30,42,83
47,44,51,83,98,74,56,14,52,53,45,60,33,19
47,66,77,10,73,56,8,86,61,83,31,38,22,87
99,31,99,43,49,68,93,16,23,23,66,98,70,85
2,2,22,7,78,23,5,1,18,98,94,35,3,7
