The number of jobs:
40

The number of machines:
6

The number of workers:
3

The processing power of each machine:
(Where columns denote machines: 1 to 6.)
7,14,14,14,14,18

The idle power of each machine:
(Where columns denote machines: 1 to 6.)
7,9,3,2,1,3

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 3 and columns denote machines: 1 to 6.)
1.5,1,0.5,1,1.25,1
0.75,1,1,1.25,1,1.5
0.5,0.75,1.25,1.5,0.5,1

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 40 and columns denote machines: 1 to 6.)
82,12,48,96,25,28
82,3,6,63,90,68
8,26,92,81,48,29
61,50,21,32,86,53
98,6,94,58,21,45
69,64,79,66,95,71
70,45,44,8,34,88
53,48,44,3,77,94
7,85,69,78,17,35
70,25,39,49,55,95
60,15,55,4,88,47
94,47,30,11,59,8
69,40,40,1,18,97
29,31,4,27,35,10
62,67,79,97,73,46
15,15,23,11,25,66
35,46,23,53,92,41
4,39,54,39,11,99
42,57,50,96,54,77
92,16,73,72,99,6
73,74,87,89,7,50
63,71,51,3,34,16
12,29,46,42,79,41
62,64,3,5,70,1
75,52,87,47,53,66
33,24,82,62,31,14
45,31,77,4,19,97
29,59,73,29,99,15
54,91,72,38,58,41
72,72,63,54,32,49
4,45,52,66,92,69
51,23,41,9,88,25
83,30,15,7,94,95
83,72,20,2,21,56
27,14,94,71,63,57
18,14,97,22,89,67
80,71,16,39,12,27
76,29,73,60,14,53
36,41,94,25,82,92
84,64,18,3,88,78

The initial sequence dependent setup time of each job processed on machine 1.
(Where rows denote jobs: 1 to 40 and columns denote jobs: 0 to 40.For example:The value of Sijk is in row j,column i+1.)
84,2,92,18,77,77,31,68,48,54,59,91,87,98,32,40,46,23,29,37,82,91,51,85,10,80,8,12,31,28,73,91,60,99,80,77,13,9,16,67,41
28,39,92,74,39,80,54,94,94,66,99,80,46,21,94,73,28,23,90,96,3,77,60,56,15,3,12,24,69,94,60,43,91,18,82,52,64,1,65,59,12
1,38,7,62,28,81,95,63,14,93,47,72,96,75,16,80,5,96,46,47,45,55,58,5,64,48,21,24,33,88,8,73,96,62,85,15,75,57,35,13,90
24,75,27,71,25,28,69,52,37,13,95,94,11,86,55,56,12,99,89,26,18,51,56,84,19,50,38,65,56,58,93,40,45,99,11,8,7,88,21,17,7
12,50,76,58,93,49,54,83,14,25,59,8,79,21,13,1,26,8,31,95,96,76,33,54,49,51,97,34,6,16,25,57,58,51,16,94,2,93,92,89,66
73,28,12,79,25,64,12,72,93,25,66,26,20,8,50,92,86,80,27,10,68,76,41,47,52,96,59,50,83,14,97,96,23,10,12,40,6,5,41,25,24
72,86,6,93,76,53,83,84,9,28,6,1,58,19,12,39,51,37,94,75,40,83,5,40,88,26,66,4,81,35,3,64,17,80,83,17,1,9,97,7,11
48,94,69,77,25,39,44,88,79,39,84,61,14,72,86,41,44,51,75,17,73,12,89,88,99,75,57,70,7,91,60,77,31,40,40,43,66,86,22,72,3
33,3,6,10,73,52,42,58,77,85,45,80,45,62,65,16,50,23,65,34,68,15,61,79,34,78,43,51,23,75,29,31,14,40,79,73,33,75,52,24,14
22,32,97,98,47,83,51,31,32,32,53,40,80,72,37,83,39,52,34,32,32,46,89,16,16,82,18,1,81,40,93,25,48,47,48,31,73,57,55,63,1
19,56,59,22,77,25,37,76,77,92,47,62,28,73,26,16,81,70,38,1,25,34,43,50,49,80,60,71,13,31,80,73,14,72,85,27,31,59,39,69,49
77,55,69,39,32,44,58,50,59,83,57,40,25,69,99,4,39,26,97,55,22,24,20,97,28,26,43,41,73,4,5,2,65,5,36,9,42,36,73,16,58
99,39,17,55,61,19,33,97,88,17,2,17,28,71,80,34,83,70,59,93,17,76,39,15,79,38,9,18,1,75,42,15,13,29,72,77,49,37,22,23,73
22,14,91,89,28,26,42,17,30,92,31,60,8,98,21,29,81,99,42,78,84,97,99,26,15,7,99,89,97,60,55,72,39,54,23,86,49,54,44,22,48
17,81,34,30,76,56,89,93,53,1,80,2,17,81,14,3,72,48,80,61,25,94,18,5,88,52,98,42,85,74,80,63,47,27,28,25,82,64,63,37,79
36,24,36,59,91,62,34,5,67,50,95,17,77,66,51,1,2,8,30,19,20,38,28,98,85,19,41,95,38,26,7,64,53,21,55,26,45,33,26,29,44
8,56,74,55,14,27,45,89,65,51,19,10,62,5,56,39,20,72,91,41,57,66,54,8,89,56,60,45,18,52,56,32,83,30,86,76,80,79,22,35,96
16,20,50,14,62,25,90,7,63,78,55,43,8,75,52,97,14,71,88,24,36,8,3,43,49,24,17,77,72,58,81,52,4,37,43,2,41,30,43,21,86
85,39,6,76,59,97,92,64,91,96,44,44,59,75,34,8,41,1,22,64,92,96,64,17,59,40,46,7,84,60,54,83,50,22,87,91,40,68,2,91,4
16,43,96,23,5,28,10,21,21,62,77,74,88,87,96,69,94,3,45,25,57,51,25,26,27,41,8,5,79,75,54,97,11,59,86,8,87,92,70,25,54
13,36,93,64,2,70,90,51,53,77,89,26,42,20,36,58,81,10,20,13,25,95,5,68,10,53,88,48,50,14,16,32,22,57,19,41,46,32,38,35,21
74,76,38,61,99,61,85,79,43,54,66,84,53,43,44,41,70,7,41,74,80,46,7,49,43,73,59,43,79,24,75,98,53,66,95,30,14,88,26,36,15
21,31,1,84,2,43,23,16,59,60,51,57,13,35,58,1,28,32,8,36,97,69,87,35,25,99,79,22,73,47,68,13,62,16,61,36,45,72,89,95,42
73,3,45,90,42,99,87,56,48,88,36,52,29,63,83,67,34,52,22,8,2,84,72,36,45,81,9,94,83,47,75,20,79,51,4,4,25,91,63,73,59
18,14,98,18,40,46,82,67,72,21,33,38,34,35,86,73,44,81,90,24,6,76,21,17,47,60,68,5,6,82,97,31,76,14,7,80,37,73,53,20,26
66,62,55,81,67,85,64,24,87,29,29,69,53,15,11,6,88,52,27,90,42,38,71,49,51,62,16,68,62,21,34,26,4,80,28,57,45,91,24,9,81
