The number of jobs:
200

The number of machines:
12

The number of workers:
5

The processing power of each machine:
(Where columns denote machines: 1 to 12.)
9,10,16,14,14,11,15,17,15,16,14,18

The idle power of each machine:
(Where columns denote machines: 1 to 12.)
5,5,7,2,2,9,7,4,8,5,4,5

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 5 and columns denote machines: 1 to 12.)
0.5,1,0.5,0.5,1,1.25,1,1,1.25,1.5,1,0.75
1,1,1,1.25,0.5,0.75,0.5,0.5,1.5,1.5,1,1
0.75,0.5,0.75,1.25,0.75,0.5,1,1,0.5,1.5,1.5,0.5
1.25,1.25,0.75,1.5,0.5,1,0.5,0.75,0.5,0.5,0.5,1.25
1,0.5,1,1.5,0.5,1,0.75,0.75,1.5,0.75,0.75,1.25

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 200 and columns denote machines: 1 to 12.)
75,44,35,23,85,22,25,81,27,66,97,41
66,32,37,19,5,80,59,81,6,20,64,49
97,51,66,53,27,35,3,19,34,6,70,38
71,76,27,61,16,88,68,82,16,99,35,76
14,26,73,1,29,59,89,23,12,45,74,68
97,70,18,76,71,3,25,98,21,83,8,99
52,43,95,48,33,52,57,2,70,65,23,98
61,26,73,84,77,44,15,7,22,49,11,11
83,11,19,10,1,48,88,79,74,89,44,16
11,23,3,38,76,98,25,96,53,83,50,60
56,29,30,51,18,36,58,44,16,70,8,63
97,10,20,90,18,77,45,45,96,61,78,28
88,1,41,61,8,67,85,4,21,99,68,55
83,13,34,99,69,40,31,48,11,18,35,14
98,5,74,13,53,32,8,39,48,87,75,16
21,22,86,92,50,13,38,87,29,69,78,43
3,80,3,74,43,95,17,59,24,50,54,50
3,22,87,58,1,14,23,7,64,60,46,24
93,74,19,44,83,75,2,44,50,62,7,62
78,36,33,35,35,77,15,4,14,27,52,74
82,84,54,49,38,79,76,92,68,43,92,68
20,71,27,94,35,80,52,31,92,84,45,4
31,90,10,83,53,79,2,61,86,33,53,16
44,67,67,82,54,80,6,75,79,91,41,2
4,84,98,70,19,23,41,33,11,90,12,5
69,53,21,15,23,97,32,76,64,15,15,66
77,88,22,52,82,32,77,34,95,14,81,85
79,8,49,89,4,84,5,47,58,16,29,36
33,16,85,29,44,20,48,86,61,71,54,11
18,63,7,61,19,84,45,18,24,80,94,16
48,26,71,45,49,83,84,14,67,91,10,49
43,85,18,83,17,99,40,15,70,1,22,30
88,85,89,26,94,41,23,67,43,28,99,34
13,68,46,49,98,90,88,24,45,2,50,99
16,68,58,81,92,37,30,82,69,78,47,5
94,42,63,13,52,8,14,59,68,83,47,90
96,90,63,79,84,25,6,64,10,22,77,91
68,22,88,70,81,98,51,27,42,43,37,34
33,11,58,66,84,44,85,61,92,41,89,65
87,84,40,55,17,97,20,40,63,77,51,35
45,72,22,23,29,72,30,25,94,87,63,58
69,20,72,33,13,61,33,87,60,91,22,4
29,26,45,22,57,14,37,16,97,40,7,6
87,62,2,26,23,75,99,62,40,17,82,48
52,48,89,42,64,37,16,93,89,18,81,88
95,13,24,95,15,51,75,72,78,73,57,60
96,76,68,77,12,98,20,10,62,62,2,17
19,5,41,84,92,24,57,17,11,94,97,57
19,29,6,33,40,80,20,29,37,96,99,60
57,9,6,92,37,21,78,84,38,56,28,29
22,75,15,35,47,58,59,41,71,28,97,32
30,30,26,37,36,98,4,1,77,85,25,52
55,71,53,3,44,57,63,32,63,71,77,46
2,1,60,13,44,52,40,76,85,70,16,51
25,25,78,48,30,23,57,18,32,22,1,66
3,88,89,51,84,45,20,42,76,14,18,6
15,40,52,13,44,8,7,4,6,24,49,65
7,7,83,94,54,12,14,96,88,12,11,78
85,32,38,36,50,64,64,65,19,64,1,7
99,25,50,29,24,73,42,81,42,91,98,21
