The number of jobs:
200

The number of machines:
14

The number of workers:
5

The processing power of each machine:
(Where columns denote machines: 1 to 14.)
8,11,10,18,11,10,19,16,12,20,17,18,12,11

The idle power of each machine:
(Where columns denote machines: 1 to 14.)
6,6,2,10,8,5,9,10,3,8,4,9,6,6

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 5 and columns denote machines: 1 to 14.)
1.25,1,0.75,1.25,1.5,1.25,1.25,1.5,1.25,1.5,1.25,1,1.25,1
1.5,0.5,1,1.5,0.5,1,0.5,0.75,0.5,1,0.5,1.25,1,1.25
0.75,0.75,1.5,0.75,1.5,0.75,0.75,0.75,1.25,1.25,0.75,1.5,1,0.5
0.5,0.75,0.5,0.75,0.5,1.5,0.75,1.5,0.5,1.5,1.5,1.5,1,1.25
1,1.25,1,1.5,1.25,1,0.5,0.75,1.25,1,1,0.75,1.5,1.5

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 200 and columns denote machines: 1 to 14.)
16,31,87,90,98,63,70,92,87,46,99,39,75,96
95,67,15,85,5,70,42,6,26,28,55,95,35,14
51,16,33,43,2,46,14,48,34,54,69,92,73,91
20,15,63,39,7,54,50,28,78,39,74,5,49,35
13,47,20,21,48,80,98,80,17,76,27,35,13,68
56,96,87,83,26,58,33,70,63,99,9,23,18,69
74,26,82,78,25,37,44,94,85,86,49,53,40,19
34,83,7,43,58,95,39,13,17,84,93,34,55,51
40,50,57,63,31,12,33,83,55,60,56,84,54,19
63,10,9,26,82,16,1,77,33,4,50,15,83,99
75,72,73,53,62,70,95,44,53,70,33,64,37,27
15,82,93,28,53,37,75,61,87,94,76,39,8,58
49,33,69,27,80,5,98,47,65,43,26,97,16,46
8,7,78,14,92,86,50,1,29,5,61,95,86,12
98,60,23,81,68,16,83,30,23,87,34,4,97,70
69,4,56,46,37,46,55,23,90,15,69,93,85,67
85,6,27,73,41,95,50,79,80,93,35,68,78,59
28,12,63,17,16,82,33,10,57,31,89,46,46,36
44,64,64,65,61,24,16,24,60,48,54,34,35,24
11,67,33,24,46,86,22,81,46,16,77,92,31,70
56,25,26,87,15,33,29,41,29,92,20,7,9,61
9,23,72,33,67,63,25,24,34,42,26,10,41,38
66,59,28,59,83,55,83,62,74,99,21,97,97,54
14,17,38,62,75,62,25,30,25,10,65,55,92,4
80,94,26,8,55,58,41,15,15,96,71,65,56,35
16,8,77,4,75,89,31,87,11,78,48,19,40,25
96,94,72,42,95,5,37,53,28,35,65,84,43,80
42,71,87,87,78,23,78,39,33,59,99,97,90,21
60,60,78,93,9,1,42,82,23,98,19,60,80,72
27,95,6,52,23,11,34,37,1,2,34,71,25,47
72,79,80,23,17,36,85,95,62,48,62,25,71,36
13,92,60,46,72,67,55,29,89,80,37,70,48,18
60,70,50,76,42,7,19,11,67,13,13,83,10,52
91,97,33,89,98,2,49,14,86,13,74,32,82,33
52,76,34,80,64,58,46,80,99,48,74,40,38,47
23,44,44,30,43,95,99,45,72,5,63,55,14,88
88,10,62,82,10,21,57,52,41,25,53,66,53,12
82,71,56,84,65,23,86,68,87,46,85,20,24,36
93,99,56,82,36,38,82,22,84,54,91,38,3,32
94,28,22,78,37,16,86,21,46,29,62,1,32,63
73,58,84,16,59,66,26,99,98,51,24,69,23,30
36,9,14,49,63,13,29,78,21,45,13,86,23,55
50,19,58,51,61,1,27,44,9,84,32,87,69,56
60,70,8,6,1,76,94,80,36,82,32,42,34,71
5,99,94,89,88,12,21,57,89,28,58,45,62,39
99,76,14,20,75,17,79,60,19,71,81,46,92,54
67,95,92,87,7,20,68,71,78,17,2,9,11,48
21,9,45,67,43,72,89,22,72,5,8,20,84,67
27,48,49,61,88,88,68,19,79,47,60,3,7,46
52,50,2,93,44,9,81,89,60,48,60,18,60,52
16,5,27,83,10,36,83,29,69,18,23,89,48,59
53,5,59,4,54,27,26,64,54,54,24,80,25,92
77,3,39,52,3,3,11,38,11,7,71,99,15,23
79,24,83,42,51,53,94,76,50,51,40,13,34,32
53,8,72,30,15,51,76,13,73,46,45,78,52,39
31,6,51,1,59,59,22,2,79,11,61,82,86,17
67,42,38,61,90,92,60,28,19,78,62,10,61,26
21,1,78,74,48,79,42,48,40,11,53,80,3,26
56,9,84,10,31,37,3,7,64,60,64,78,6,50
90,8,75,33,86,16,56,92,60,35,35,79,26,51
65,69,20,29,97,5,98,89,72,26,15,38,97,11
