The number of jobs:
200

The number of machines:
12

The number of workers:
6

The processing power of each machine:
(Where columns denote machines: 1 to 12.)
6,18,10,19,13,11,14,11,12,10,11,19

The idle power of each machine:
(Where columns denote machines: 1 to 12.)
2,10,1,10,2,9,6,3,9,1,7,10

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 6 and columns denote machines: 1 to 12.)
1.25,1.5,0.5,0.5,0.75,1,0.5,0.5,0.5,1.25,0.5,1.25
1.5,1.5,1.5,1.25,0.75,0.75,0.5,1.5,1,1,1.25,1
0.75,1.5,0.5,1,0.5,1.5,1.5,0.75,1.5,1.5,0.5,0.75
0.5,0.75,0.75,1.25,0.75,1.5,0.5,1,1,1.5,1.5,1.25
1.25,1.5,0.5,1.5,0.75,0.5,1,1,1.5,1.25,0.75,1.25
1.5,0.5,1.5,0.5,0.75,1.25,1,1.25,0.75,1.25,0.5,1

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 200 and columns denote machines: 1 to 12.)
59,49,30,47,99,32,68,19,84,81,45,53
34,84,68,78,7,80,68,71,38,24,43,80
19,47,39,64,75,53,42,22,30,60,77,57
65,96,62,59,58,65,71,24,22,60,42,34
56,18,39,35,20,3,82,7,93,94,28,31
18,30,73,53,18,31,25,79,74,37,76,73
43,14,88,84,5,61,45,91,20,89,26,25
9,36,33,94,36,19,75,4,18,24,15,86
81,85,59,33,21,98,43,6,91,10,44,36
38,64,53,23,62,63,85,51,2,2,6,85
35,48,79,63,83,20,91,64,40,77,41,47
85,69,80,27,77,52,81,54,29,43,71,19
68,84,44,15,49,3,67,67,89,26,66,28
15,45,38,95,4,69,67,1,57,73,55,12
61,29,78,34,48,76,99,68,96,71,6,68
3,79,42,47,35,94,91,47,69,9,42,38
13,4,97,38,26,96,56,82,37,10,46,34
91,44,97,9,76,42,55,65,95,5,8,76
82,38,89,32,98,10,8,44,47,53,6,58
99,55,14,73,82,3,45,36,95,77,25,63
43,95,5,78,91,98,44,47,74,58,71,10
71,81,28,75,86,77,55,38,78,13,57,98
20,35,29,34,40,73,34,45,42,45,49,62
48,31,84,52,44,25,80,22,17,67,9,98
24,40,71,13,31,53,34,53,20,33,8,92
98,13,24,76,77,2,64,42,3,20,86,62
38,42,99,70,58,14,26,81,48,44,77,77
92,81,89,15,67,65,50,59,3,72,4,48
92,27,98,90,73,48,48,72,96,55,56,48
24,1,56,56,86,13,14,19,7,49,9,14
63,6,49,14,26,6,93,48,43,17,16,4
35,81,70,75,25,54,64,49,94,93,40,83
77,23,55,17,76,73,26,7,5,58,57,30
34,77,33,40,44,57,22,70,2,11,31,56
20,9,31,94,51,13,48,89,77,43,20,86
91,4,53,17,91,68,34,2,52,27,83,84
35,78,68,20,74,86,29,62,8,5,93,72
14,98,70,34,42,49,47,77,67,42,71,16
8,56,82,53,25,93,64,18,3,87,36,54
74,85,52,4,59,7,37,28,72,76,30,73
42,74,99,88,44,13,10,91,19,93,88,80
35,53,58,86,7,7,71,25,63,35,59,57
15,90,12,7,66,51,89,1,29,90,61,67
53,89,54,32,68,92,51,24,69,92,14,41
97,67,19,51,78,60,53,96,52,55,81,6
81,60,61,86,82,95,49,90,11,5,9,77
18,93,31,95,39,62,14,69,51,20,42,77
54,63,81,88,1,69,78,10,65,91,32,30
7,17,53,54,8,37,48,53,82,9,73,4
30,5,90,59,8,28,3,91,43,91,18,6
21,76,92,64,68,65,48,37,85,61,25,7
63,50,77,65,9,23,22,23,50,56,98,36
56,87,8,42,86,45,38,84,30,2,98,9
68,10,12,70,32,27,62,87,57,53,84,7
62,26,12,85,33,27,38,12,75,22,44,1
37,46,72,31,23,40,74,89,12,47,92,40
79,65,55,70,86,83,97,11,44,63,18,26
98,72,41,59,91,47,62,61,86,16,9,39
52,73,37,29,63,14,6,5,14,91,53,23
41,47,54,65,88,82,30,61,17,54,13,59
79,68,24,93,61,17,89,36,67,46,76,6
39,36,63,75,93,43,4,44,52,48,58,49
17,8,74,20,41,9,3,35,92,77,5,32
42,29,14,85,5,63,99,94,84,27,74,6
69,62,64,50,30,52,27,52,14,39,81,76
