The number of jobs:
40

The number of machines:
8

The number of workers:
4

The processing power of each machine:
(Where columns denote machines: 1 to 8.)
3,16,20,17,20,13,12,11

The idle power of each machine:
(Where columns denote machines: 1 to 8.)
5,9,3,6,1,5,2,4

The initial coefficient of each worker on each machine:
(Where rows denote workers: 1 to 4 and columns denote machines: 1 to 8.)
1.25,1,1.25,1,0.5,0.75,1,1.5
1.5,1.5,0.75,1,0.5,1.25,1.5,1.25
1.5,1.5,0.75,0.5,1.25,0.75,1.25,1.25
1.5,1.5,0.75,1.5,1,1.5,0.75,0.5

The basic processing time of jobs processed on different machines:
(Where rows denote jobs: 1 to 40 and columns denote machines: 1 to 8.)
12,27,16,6,83,99,43,26
5,93,72,79,16,1,73,84
20,21,40,19,7,65,40,90
70,89,31,84,50,73,97,75
46,89,73,73,35,28,17,10
27,74,85,96,60,80,46,33
48,51,75,79,7,87,63,56
55,34,67,9,30,47,73,64
91,61,34,29,35,3,97,35
10,8,6,23,86,61,92,13
60,41,24,15,49,67,54,4
32,19,52,40,18,18,26,71
84,9,43,92,26,63,85,20
68,49,73,73,94,88,1,9
80,50,80,27,20,42,69,62
67,68,46,51,90,16,86,62
65,95,2,60,37,81,55,54
36,24,67,19,67,91,60,81
90,69,55,39,41,44,83,80
1,32,87,38,29,64,35,16
54,36,5,55,54,98,17,76
30,1,69,30,76,79,78,95
49,35,14,77,62,68,10,8
92,61,62,41,9,1,20,95
72,71,95,64,86,7,52,73
42,61,86,57,37,21,80,90
85,35,45,39,96,9,85,36
40,95,10,2,14,35,93,61
79,58,20,96,94,96,36,1
40,92,37,19,88,56,49,79
43,37,47,67,98,26,27,14
15,17,48,5,63,98,24,47
20,40,77,45,76,54,34,96
7,92,97,32,81,39,64,32
99,77,63,18,85,79,95,8
44,43,34,28,44,82,92,41
60,27,71,33,12,63,4,11
23,84,17,79,61,76,21,94
7,99,20,84,49,42,5,9
11,14,48,95,1,27,49,19

The initial sequence dependent setup time of each job processed on machine 1.
(Where rows denote jobs: 1 to 40 and columns denote jobs: 0 to 40.For example:The value of Sijk is in row j,column i+1.)
54,38,35,96,90,28,6,55,92,5,82,99,83,69,19,33,81,5,24,28,28,64,87,55,68,6,30,62,8,3,52,33,17,82,6,39,29,98,82,28,28
81,87,30,80,24,27,77,55,13,15,57,33,37,82,89,25,11,86,31,79,89,54,5,55,15,79,67,88,76,50,55,7,38,16,18,58,35,2,79,1,32
29,33,18,44,85,55,8,42,60,68,92,48,1,90,92,73,24,18,90,42,66,89,28,12,26,84,44,61,95,89,99,39,23,47,94,25,85,36,4,78,27
63,80,51,63,61,58,99,97,55,66,84,54,52,14,64,97,22,44,1,44,90,20,5,55,89,95,58,84,43,10,3,1,34,82,51,92,11,12,59,61,38
62,66,73,95,51,34,62,81,15,10,75,52,49,2,12,51,42,60,12,45,34,51,82,47,12,97,23,2,61,41,30,27,22,44,14,88,54,37,97,24,56
64,59,37,1,4,50,10,18,15,12,67,88,30,53,61,61,27,76,38,34,77,34,54,7,61,67,19,87,92,35,83,49,86,62,24,34,73,57,2,10,14
28,34,62,41,14,76,35,85,17,85,14,68,77,41,45,75,59,71,74,76,25,89,90,23,10,27,48,78,42,55,4,90,72,57,84,76,17,51,42,82,37
88,6,23,48,69,37,24,49,52,89,29,79,80,56,98,96,26,79,20,54,58,10,33,20,18,6,49,39,10,37,59,83,98,90,31,73,45,92,41,3,76
61,2,87,28,65,47,15,82,14,66,94,65,10,25,51,32,6,70,94,71,42,20,94,32,69,65,56,67,73,39,87,59,73,55,80,77,82,15,13,63,23
85,75,36,91,23,4,26,97,50,2,99,35,82,73,4,31,45,14,39,2,76,71,14,13,5,68,5,20,50,40,15,90,80,84,69,67,52,37,80,13,40
3,78,84,33,28,13,83,34,83,13,54,54,5,1,54,89,35,62,78,91,80,54,37,26,71,87,31,61,83,29,7,97,28,93,58,59,22,19,69,54,19
94,30,34,30,97,13,99,69,10,36,14,67,27,22,11,32,39,21,31,81,31,62,24,19,33,18,77,38,73,92,2,23,35,71,14,12,91,98,40,14,51
47,49,20,61,54,88,70,16,8,21,80,42,94,34,17,95,22,85,74,95,20,58,36,73,49,57,76,5,58,25,55,10,48,49,19,83,67,78,73,43,78
76,89,38,80,27,91,93,55,87,75,37,33,8,41,28,65,84,56,42,66,62,49,91,36,39,26,80,17,48,2,13,52,87,39,89,87,74,75,47,3,3
